start_ut,end_ut,PH,CL,TN,TK,CY,WI,HU,RN,SN,EQ,OT
2011-12-22T04:02:00,2011-12-22T23:39:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-22T23:39:00,2011-12-23T01:34:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-23T01:34:00,2011-12-23T05:02:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-23T05:02:00,2011-12-23T07:08:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-23T07:08:00,2011-12-23T23:55:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-23T23:55:00,2011-12-24T01:31:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-24T01:31:00,2011-12-24T05:16:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-24T05:16:00,2011-12-24T23:42:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-24T23:42:00,2011-12-25T01:29:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-25T01:29:00,2011-12-25T03:22:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-25T03:22:00,2011-12-25T04:04:00,0,0,1,1,0,0,0,0,0,0,0
2011-12-25T04:04:00,2011-12-25T06:59:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-25T06:59:00,2011-12-25T23:36:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-25T23:36:00,2011-12-26T01:16:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T01:16:00,2011-12-26T03:39:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T03:39:00,2011-12-26T05:06:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T05:06:00,2011-12-26T07:12:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T07:12:00,2011-12-26T23:39:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T23:39:00,2011-12-27T01:10:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-27T01:10:00,2011-12-27T03:00:00,0,1,0,0,0,1,0,0,0,0,0
2011-12-27T03:00:00,2011-12-27T03:47:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-27T03:47:00,2011-12-27T05:47:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-27T05:47:00,2011-12-27T23:40:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-27T23:40:00,2011-12-28T02:00:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T02:00:00,2011-12-28T04:40:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T04:40:00,2011-12-28T06:30:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T06:30:00,2011-12-28T23:45:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T23:45:00,2011-12-29T01:20:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-29T01:20:00,2011-12-29T04:10:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-29T04:10:00,2011-12-29T23:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-29T23:45:00,2011-12-30T01:20:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-30T01:20:00,2011-12-30T05:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-30T05:00:00,2011-12-30T23:45:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-30T23:45:00,2011-12-31T02:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-31T02:00:00,2011-12-31T23:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-31T23:45:00,2012-01-01T00:30:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-01T00:30:00,2012-01-01T04:10:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-01T04:10:00,2012-01-01T23:50:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-01T23:50:00,2012-01-02T00:41:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-02T00:41:00,2012-01-02T04:45:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-02T04:45:00,2012-01-02T06:00:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-02T06:00:00,2012-01-02T06:54:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-02T06:54:00,2012-01-02T08:12:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-02T08:12:00,2012-01-02T08:18:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-02T08:18:00,2012-01-02T23:45:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-02T23:45:00,2012-01-03T00:40:00,0,0,0,1,0,0,1,0,0,0,0
2012-01-03T00:40:00,2012-01-03T04:34:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-03T04:34:00,2012-01-03T07:10:00,0,0,0,1,0,0,1,0,0,0,0
2012-01-03T07:10:00,2012-01-03T23:30:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-03T23:30:00,2012-01-04T02:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T02:00:00,2012-01-04T06:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T06:00:00,2012-01-04T07:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T07:00:00,2012-01-04T23:30:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T23:30:00,2012-01-05T01:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-05T01:00:00,2012-01-05T05:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-05T05:00:00,2012-01-05T07:30:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-05T07:30:00,2012-01-05T08:49:00,0,0,0,1,0,0,1,0,0,0,0
2012-01-05T08:49:00,2012-01-05T23:30:00,0,0,1,0,0,0,1,0,0,0,0
2012-01-05T23:30:00,2012-01-06T01:00:00,0,1,0,0,0,0,1,0,0,0,0
2012-01-06T01:00:00,2012-01-06T05:50:00,0,1,0,0,0,0,1,0,0,0,0
2012-01-06T05:50:00,2012-01-06T07:25:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-06T07:25:00,2012-01-06T23:30:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-06T23:30:00,2012-01-07T00:40:00,0,1,0,0,0,1,0,0,0,0,0
2012-01-07T00:40:00,2012-01-07T03:10:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-07T03:10:00,2012-01-07T23:30:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-07T23:30:00,2012-01-08T03:00:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-08T03:00:00,2012-01-08T04:33:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-08T04:33:00,2012-01-08T05:15:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-08T05:15:00,2012-01-08T07:20:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-08T07:20:00,2012-01-08T23:30:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-08T23:30:00,2012-01-09T02:00:00,0,0,0,0,1,0,0,0,0,0,0
2012-01-09T02:00:00,2012-01-09T06:30:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-09T06:30:00,2012-01-09T08:10:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-09T08:10:00,2012-01-09T23:30:00,0,0,0,0,1,0,0,0,0,0,0
2012-01-09T23:30:00,2012-01-10T04:30:00,0,0,0,0,1,0,0,0,0,0,0
2012-01-10T04:30:00,2012-01-10T07:43:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-10T07:43:00,2012-01-11T00:00:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-11T00:00:00,2012-01-11T00:40:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-11T00:40:00,2012-01-11T00:45:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-11T00:45:00,2012-01-11T02:00:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-11T02:00:00,2012-01-11T04:30:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-11T04:30:00,2012-01-11T05:00:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-11T05:00:00,2012-01-11T06:03:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-11T06:03:00,2012-01-11T23:50:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-11T23:50:00,2012-01-12T01:56:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-12T01:56:00,2012-01-12T06:00:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-12T06:00:00,2012-01-12T23:52:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-12T23:52:00,2012-01-13T01:20:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-13T01:20:00,2012-01-13T03:30:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-13T03:30:00,2012-01-13T04:40:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-13T04:40:00,2012-01-14T00:00:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-14T00:00:00,2012-01-14T01:00:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-14T01:00:00,2012-01-14T01:35:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-14T01:35:00,2012-01-14T02:30:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-14T02:30:00,2012-01-14T07:00:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-14T07:00:00,2012-01-14T23:48:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-14T23:48:00,2012-01-15T03:30:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-15T03:30:00,2012-01-15T04:00:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-15T04:00:00,2012-01-15T06:00:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-15T06:00:00,2012-01-15T23:55:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-15T23:55:00,2012-01-16T00:41:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-16T00:41:00,2012-01-16T01:03:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-16T01:03:00,2012-01-16T04:26:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-16T04:26:00,2012-01-16T05:37:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-16T05:37:00,2012-01-16T23:46:00,1,0,0,0,0,1,0,0,0,0,0
2012-01-16T23:46:00,2012-01-17T02:06:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-17T02:06:00,2012-01-17T02:30:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-17T02:30:00,2012-01-17T05:05:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-17T05:05:00,2012-01-18T00:10:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-18T00:10:00,2012-01-18T01:05:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-18T01:05:00,2012-01-18T03:45:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-18T03:45:00,2012-01-18T04:36:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-18T04:36:00,2012-01-19T00:05:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-19T00:05:00,2012-01-19T00:46:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-19T00:46:00,2012-01-19T00:55:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-19T00:55:00,2012-01-19T05:12:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-19T05:12:00,2012-01-20T00:06:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-20T00:06:00,2012-01-20T01:03:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-20T01:03:00,2012-01-20T05:33:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-20T05:33:00,2012-01-20T06:58:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-20T06:58:00,2012-01-20T08:19:00,1,0,0,0,0,1,0,0,0,0,0
2012-01-20T08:19:00,2012-01-21T00:10:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-21T00:10:00,2012-01-21T00:43:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-21T00:43:00,2012-01-21T00:53:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-21T00:53:00,2012-01-21T02:11:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-21T02:11:00,2012-01-21T06:00:00,1,0,0,0,0,1,0,0,0,0,0
2012-01-21T06:00:00,2012-01-21T08:32:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-21T08:32:00,2012-01-21T23:53:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-21T23:53:00,2012-01-22T00:52:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-22T00:52:00,2012-01-22T04:25:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-22T04:25:00,2012-01-22T06:54:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-22T06:54:00,2012-01-22T09:02:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-22T09:02:00,2012-01-22T23:43:00,0,0,0,0,0,0,1,0,0,0,0
2012-01-22T23:43:00,2012-01-23T00:29:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-23T00:29:00,2012-01-23T00:44:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-23T00:44:00,2012-01-24T00:40:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-24T00:40:00,2012-01-24T00:57:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-24T00:57:00,2012-01-24T05:28:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-24T05:28:00,2012-01-24T09:01:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-24T09:01:00,2012-01-25T00:06:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-25T00:06:00,2012-01-25T00:55:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-25T00:55:00,2012-01-25T06:40:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-25T06:40:00,2012-01-25T23:53:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-25T23:53:00,2012-01-26T00:45:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-26T00:45:00,2012-01-26T01:37:00,1,0,0,0,0,0,0,0,0,0,0
2012-01-26T01:37:00,2012-01-26T02:17:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-26T02:17:00,2012-01-26T05:25:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-26T05:25:00,2012-01-26T08:11:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-26T08:11:00,2012-01-27T00:05:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-27T00:05:00,2012-01-27T00:52:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-27T00:52:00,2012-01-27T02:28:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-27T02:28:00,2012-01-27T04:05:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-27T04:05:00,2012-01-27T06:25:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-27T06:25:00,2012-01-27T06:44:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-27T06:44:00,2012-01-27T08:18:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-27T08:18:00,2012-01-27T08:29:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-27T08:29:00,2012-01-27T23:50:00,0,0,0,0,1,0,0,0,0,0,0
2012-01-27T23:50:00,2012-01-28T04:02:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-28T04:02:00,2012-01-28T06:34:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-28T06:34:00,2012-01-28T06:55:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-28T06:55:00,2012-01-28T23:51:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-28T23:51:00,2012-01-29T01:21:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-29T01:21:00,2012-01-29T04:35:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-29T04:35:00,2012-01-29T06:45:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-29T06:45:00,2012-01-29T08:58:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-29T08:58:00,2012-01-29T23:49:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-29T23:49:00,2012-01-30T01:35:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-30T01:35:00,2012-01-30T03:10:00,0,0,0,0,1,0,1,0,0,0,0
